frame,ep_length,done,term_reason,root_z,root_ref_z,root_z_err,root_roll,root_pitch,root_yaw,root_ref_roll,root_ref_pitch,root_ref_yaw,root_lin_err,root_ang_err,q_ref_L_HipRoll_Joint,q_ref_L_HipPitch_Joint,q_ref_L_HipYaw_Joint,q_ref_L_Knee_Joint,q_ref_L_AnklePitch_Joint,q_ref_L_AnkleRoll_Joint,q_ref_R_HipRoll_Joint,q_ref_R_HipPitch_Joint,q_ref_R_HipYaw_Joint,q_ref_R_Knee_Joint,q_ref_R_AnklePitch_Joint,q_ref_R_AnkleRoll_Joint,q_ref_WaistYaw_Joint,q_cur_L_HipRoll_Joint,q_cur_L_HipPitch_Joint,q_cur_L_HipYaw_Joint,q_cur_L_Knee_Joint,q_cur_L_AnklePitch_Joint,q_cur_L_AnkleRoll_Joint,q_cur_R_HipRoll_Joint,q_cur_R_HipPitch_Joint,q_cur_R_HipYaw_Joint,q_cur_R_Knee_Joint,q_cur_R_AnklePitch_Joint,q_cur_R_AnkleRoll_Joint,q_cur_WaistYaw_Joint,q_err_L_HipRoll_Joint,q_err_L_HipPitch_Joint,q_err_L_HipYaw_Joint,q_err_L_Knee_Joint,q_err_L_AnklePitch_Joint,q_err_L_AnkleRoll_Joint,q_err_R_HipRoll_Joint,q_err_R_HipPitch_Joint,q_err_R_HipYaw_Joint,q_err_R_Knee_Joint,q_err_R_AnklePitch_Joint,q_err_R_AnkleRoll_Joint,q_err_WaistYaw_Joint,torque_L_HipRoll_Joint,torque_L_HipPitch_Joint,torque_L_HipYaw_Joint,torque_L_Knee_Joint,torque_L_AnklePitch_Joint,torque_L_AnkleRoll_Joint,torque_R_HipRoll_Joint,torque_R_HipPitch_Joint,torque_R_HipYaw_Joint,torque_R_Knee_Joint,torque_R_AnklePitch_Joint,torque_R_AnkleRoll_Joint,torque_WaistYaw_Joint,action_L_HipRoll_Joint,action_L_HipPitch_Joint,action_L_HipYaw_Joint,action_L_Knee_Joint,action_L_AnklePitch_Joint,action_L_AnkleRoll_Joint,action_R_HipRoll_Joint,action_R_HipPitch_Joint,action_R_HipYaw_Joint,action_R_Knee_Joint,action_R_AnklePitch_Joint,action_R_AnkleRoll_Joint,action_WaistYaw_Joint,keybody_err_L_Knee_Link,keybody_err_R_Knee_Link,keybody_err_L_Foot_Link,keybody_err_R_Foot_Link
10,1,0,,0.895424,0.890686,-0.004738,0.026403,0.080013,-1.647176,0.013678,0.038310,-1.570275,0.071062,0.338343,-0.027477,0.127766,0.058112,0.319209,-0.246483,0.007635,0.028042,-0.171438,0.002140,-0.411103,0.295679,0.020159,-0.036112,-0.018433,0.286773,0.043508,0.476542,-0.289786,-0.015434,-0.012434,-0.195164,-0.027140,-0.399795,0.283706,-0.036537,-0.012531,-0.009044,-0.159006,0.014603,-0.157333,0.043303,0.023069,0.040476,0.023725,0.029279,-0.011308,0.011974,0.056696,-0.023581,32.126373,34.180611,-1.179384,-6.183270,-6.464387,-9.154375,4.296166,43.571522,-5.304040,-29.033630,-67.533005,-34.689644,7.191820,0.003306,0.123929,-0.058803,0.041558,-0.077337,-0.157216,0.154958,-0.149018,-0.025544,-0.034757,-0.106304,,0.035301,,,,
11,1,0,,0.895596,0.890695,-0.004901,0.021271,0.079590,-1.646036,0.013589,0.038398,-1.569969,0.059346,0.178217,-0.027569,0.128002,0.058327,0.319776,-0.246751,0.007682,0.028116,-0.170648,0.002406,-0.409826,0.295261,0.020309,-0.036089,-0.020017,0.291933,0.034827,0.479491,-0.289632,-0.016403,-0.017425,-0.188809,-0.025952,-0.391789,0.281674,-0.037331,-0.012305,-0.007552,-0.163931,0.023500,-0.159715,0.042881,0.024085,0.045541,0.018160,0.028357,-0.018037,0.013587,0.057640,-0.023784,20.902321,31.714907,0.320128,2.487754,5.763179,6.115227,39.063374,32.441589,-12.821477,-19.694181,-66.731064,-35.107494,6.796176,-0.010507,0.141040,0.003812,0.036936,-0.058507,-0.158806,0.154967,-0.100962,-0.003298,-0.047651,-0.077108,,0.027196,,,,
12,1,0,,0.895576,0.890698,-0.004878,0.018375,0.078704,-1.647695,0.013459,0.038480,-1.570018,0.056838,0.141430,-0.027574,0.128164,0.058216,0.320277,-0.247047,0.007734,0.028105,-0.170120,0.002342,-0.408928,0.294965,0.020464,-0.035759,-0.023685,0.296015,0.029949,0.480754,-0.278968,-0.006319,-0.019829,-0.185118,-0.027535,-0.388857,0.281458,-0.036793,-0.012147,-0.003889,-0.167852,0.028267,-0.160477,0.031920,0.014053,0.047934,0.014999,0.029877,-0.020071,0.013507,0.057257,-0.023612,37.514759,14.707206,3.898122,-2.333786,4.551403,8.846841,40.382504,13.082502,-4.171364,-23.278725,-59.506001,-35.455147,6.866630,-0.008221,0.127626,0.029407,0.013918,-0.075608,-0.149755,0.138855,-0.081561,0.000289,-0.036769,-0.046928,,0.032860,,,,
13,1,0,,0.895386,0.890688,-0.004698,0.015814,0.078933,-1.649322,0.013246,0.038550,-1.570776,0.061594,0.134809,-0.027407,0.128177,0.057454,0.320643,-0.247403,0.007794,0.027922,-0.170112,0.001620,-0.408785,0.294915,0.020628,-0.034816,-0.026575,0.299592,0.029967,0.479134,-0.269362,0.000709,-0.021505,-0.183774,-0.029108,-0.387991,0.282112,-0.034627,-0.012167,-0.000832,-0.171416,0.027487,-0.158491,0.021960,0.007085,0.049427,0.013662,0.030728,-0.020795,0.012802,0.055256,-0.022649,39.441441,13.532254,3.299856,1.739091,1.533303,2.390177,32.666878,1.018629,-2.441189,1.590705,-51.361935,-34.447742,6.971142,-0.007640,0.128233,0.014407,-0.000039,-0.031260,-0.146057,0.141945,-0.082819,-0.003310,-0.035257,-0.016332,,0.035281,,,,
14,1,0,,0.895106,0.890673,-0.004433,0.014050,0.078965,-1.650943,0.012965,0.038624,-1.571842,0.081119,0.063229,-0.027133,0.128103,0.056425,0.320905,-0.247768,0.007841,0.027613,-0.170438,0.000600,-0.409195,0.295091,0.020768,-0.033528,-0.029404,0.300805,0.032790,0.474771,-0.259143,0.009428,-0.022084,-0.183373,-0.030615,-0.389625,0.284133,-0.032866,-0.012153,0.002271,-0.172702,0.023634,-0.153865,0.011375,-0.001586,0.049697,0.012935,0.031215,-0.019570,0.010958,0.053634,-0.021375,28.751791,-0.853992,6.469685,-1.401672,4.268575,7.811317,41.575066,15.393932,-4.026141,-28.740086,-52.148941,-31.510750,6.881484,-0.018671,0.109808,0.041691,0.013571,-0.097115,-0.116254,0.119953,-0.062941,0.005047,-0.039348,-0.016349,,0.044807,,,,
15,1,0,,0.894391,0.890654,-0.003737,0.013300,0.076957,-1.650587,0.012648,0.038699,-1.573061,0.081919,0.182508,-0.026805,0.127986,0.055263,0.321116,-0.248138,0.007883,0.027241,-0.170930,-0.000569,-0.409880,0.295381,0.020895,-0.032067,-0.033149,0.299502,0.040404,0.472231,-0.246922,0.027116,-0.021193,-0.186377,-0.029398,-0.402224,0.291769,-0.031505,-0.012286,0.006344,-0.171515,0.014858,-0.151115,-0.001216,-0.019233,0.048435,0.015447,0.028829,-0.007656,0.003612,0.052400,-0.019781,8.129048,-31.430355,11.071384,13.761873,44.790943,27.280310,49.155403,-21.153025,5.760423,-35.636765,-27.545231,-9.049836,7.112455,-0.035170,0.141775,0.115686,-0.034995,-0.148500,-0.053021,0.081698,0.038222,0.012242,-0.019312,0.076138,,0.060796,,,,
16,1,0,,0.894147,0.890635,-0.003513,0.013707,0.074481,-1.651606,0.012284,0.038805,-1.573855,0.038870,0.170798,-0.026475,0.128056,0.054520,0.321527,-0.248577,0.007892,0.026848,-0.171445,-0.001368,-0.410690,0.295801,0.020988,-0.030805,-0.034532,0.295071,0.039382,0.469996,-0.248755,0.028375,-0.019904,-0.196486,-0.027307,-0.427499,0.300388,-0.031366,-0.011990,0.008057,-0.167015,0.015138,-0.148469,0.000178,-0.020483,0.046752,0.025040,0.025939,0.016809,-0.004587,0.052354,-0.018816,18.596478,-42.788494,13.950294,-5.936367,49.323421,35.124714,44.827011,-42.394512,3.317612,-22.401533,-3.113714,-1.824270,6.318907,-0.024634,0.101440,0.150012,-0.081217,-0.178859,-0.036466,0.056494,0.072538,0.012735,-0.020237,0.135634,,0.059666,,,,
17,1,0,,0.894469,0.890617,-0.003852,0.014025,0.073007,-1.653158,0.011943,0.038901,-1.574347,0.031751,0.046930,-0.026182,0.128209,0.054055,0.322023,-0.249012,0.007890,0.026503,-0.171798,-0.001883,-0.411279,0.296150,0.021073,-0.029813,-0.034881,0.289443,0.037735,0.462163,-0.245094,0.027198,-0.018052,-0.211244,-0.016498,-0.456599,0.308437,-0.031539,-0.012108,0.008699,-0.161234,0.016320,-0.140140,-0.003918,-0.019308,0.044555,0.039446,0.014615,0.045319,-0.012287,0.052612,-0.017705,16.325109,-31.782753,17.373768,-9.488169,44.639866,37.657413,52.049152,-37.408001,1.848131,-7.707206,6.250831,0.039390,7.014702,-0.026205,0.076582,0.164778,-0.097609,-0.185956,-0.031844,0.063661,0.058356,0.020365,-0.002583,0.165248,,0.063425,,,,
18,1,0,,0.895038,0.890602,-0.004436,0.015853,0.070592,-1.654017,0.011651,0.038978,-1.574234,0.036627,0.257004,-0.025962,0.128526,0.054147,0.322687,-0.249441,0.007865,0.026255,-0.171826,-0.001826,-0.411426,0.296358,0.021144,-0.029361,-0.036681,0.281212,0.036771,0.450586,-0.239330,0.027440,-0.013475,-0.227100,-0.002304,-0.488516,0.325890,-0.020745,-0.012234,0.010719,-0.152686,0.017377,-0.127899,-0.010112,-0.019575,0.039730,0.055274,0.000478,0.077091,-0.029531,0.041889,-0.017126,12.845544,-58.846684,21.243576,8.045856,50.379356,39.365261,66.898270,-40.095257,-0.506797,-20.173372,11.098160,11.393130,7.046718,-0.034139,0.086404,0.176451,-0.118953,-0.251550,0.028304,0.014511,0.117005,0.040416,0.008510,0.212123,,0.066272,,,,
19,1,0,,0.895658,0.890590,-0.005068,0.017771,0.065860,-1.654374,0.011460,0.039020,-1.573707,0.043164,0.242792,-0.025848,0.128822,0.054614,0.323217,-0.249730,0.007817,0.026152,-0.171593,-0.001349,-0.411207,0.296424,0.021197,-0.029387,-0.038454,0.271181,0.036275,0.439615,-0.233667,0.029819,-0.008565,-0.242155,0.007742,-0.520588,0.344804,-0.009282,-0.012342,0.012605,-0.142359,0.018339,-0.116399,-0.016063,-0.022002,0.034717,0.070563,-0.009091,0.109380,-0.048380,0.030479,-0.017045,35.771236,-43.939465,18.434111,16.040049,48.861553,38.564072,56.868721,-40.092903,-3.021066,-2.838772,7.293230,3.583492,7.098890,-0.018692,0.092592,0.192640,-0.131362,-0.246502,0.013512,0.024218,0.105332,0.036738,0.010242,0.217815,,0.063972,,,,
