frame,ep_length,done,term_reason,root_z,root_ref_z,root_z_err,root_roll,root_pitch,root_yaw,root_ref_roll,root_ref_pitch,root_ref_yaw,root_lin_err,root_ang_err,q_ref_L_HipRoll_Joint,q_ref_L_HipPitch_Joint,q_ref_L_HipYaw_Joint,q_ref_L_Knee_Joint,q_ref_L_AnklePitch_Joint,q_ref_L_AnkleRoll_Joint,q_ref_R_HipRoll_Joint,q_ref_R_HipPitch_Joint,q_ref_R_HipYaw_Joint,q_ref_R_Knee_Joint,q_ref_R_AnklePitch_Joint,q_ref_R_AnkleRoll_Joint,q_ref_WaistYaw_Joint,q_cur_L_HipRoll_Joint,q_cur_L_HipPitch_Joint,q_cur_L_HipYaw_Joint,q_cur_L_Knee_Joint,q_cur_L_AnklePitch_Joint,q_cur_L_AnkleRoll_Joint,q_cur_R_HipRoll_Joint,q_cur_R_HipPitch_Joint,q_cur_R_HipYaw_Joint,q_cur_R_Knee_Joint,q_cur_R_AnklePitch_Joint,q_cur_R_AnkleRoll_Joint,q_cur_WaistYaw_Joint,q_err_L_HipRoll_Joint,q_err_L_HipPitch_Joint,q_err_L_HipYaw_Joint,q_err_L_Knee_Joint,q_err_L_AnklePitch_Joint,q_err_L_AnkleRoll_Joint,q_err_R_HipRoll_Joint,q_err_R_HipPitch_Joint,q_err_R_HipYaw_Joint,q_err_R_Knee_Joint,q_err_R_AnklePitch_Joint,q_err_R_AnkleRoll_Joint,q_err_WaistYaw_Joint,torque_L_HipRoll_Joint,torque_L_HipPitch_Joint,torque_L_HipYaw_Joint,torque_L_Knee_Joint,torque_L_AnklePitch_Joint,torque_L_AnkleRoll_Joint,torque_R_HipRoll_Joint,torque_R_HipPitch_Joint,torque_R_HipYaw_Joint,torque_R_Knee_Joint,torque_R_AnklePitch_Joint,torque_R_AnkleRoll_Joint,torque_WaistYaw_Joint,action_L_HipRoll_Joint,action_L_HipPitch_Joint,action_L_HipYaw_Joint,action_L_Knee_Joint,action_L_AnklePitch_Joint,action_L_AnkleRoll_Joint,action_R_HipRoll_Joint,action_R_HipPitch_Joint,action_R_HipYaw_Joint,action_R_Knee_Joint,action_R_AnklePitch_Joint,action_R_AnkleRoll_Joint,action_WaistYaw_Joint,keybody_err_L_Knee_Link,keybody_err_R_Knee_Link,keybody_err_L_Foot_Link,keybody_err_R_Foot_Link
104,1,0,,0.901974,0.889701,-0.012273,0.025929,0.062708,-1.792665,0.010214,0.041153,-1.577567,0.084923,0.156150,-0.022204,0.134110,0.051605,0.347685,-0.270807,0.006041,0.021592,-0.173838,-0.004469,-0.427283,0.310285,0.017304,-0.029445,-0.027704,0.265650,0.034502,0.459597,-0.264101,-0.002683,-0.043644,-0.255978,-0.104657,-0.392299,0.193082,-0.049361,-0.010216,0.005500,-0.131540,0.017104,-0.111911,-0.006707,0.008723,0.065235,0.082140,0.100188,-0.034984,0.117203,0.066665,-0.019229,38.667496,2.579329,-2.780998,4.115731,2.055259,-3.206220,1.186118,4.945671,-16.835752,10.113968,-13.857775,-33.092834,5.892887,-0.001942,0.116238,-0.012852,-0.070771,-0.021667,-0.136048,0.088456,-0.087849,-0.045198,-0.131744,-0.005927,,0.027449,,,,
105,1,0,,0.902004,0.889706,-0.012298,0.025476,0.065000,-1.793297,0.010267,0.041026,-1.576907,0.091485,0.106936,-0.022487,0.135225,0.052166,0.349719,-0.271464,0.006073,0.021858,-0.173604,-0.003901,-0.427046,0.310102,0.017446,-0.029125,-0.027772,0.265659,0.033294,0.460895,-0.264329,-0.000499,-0.044211,-0.256159,-0.105423,-0.391768,0.194604,-0.049643,-0.010265,0.005286,-0.130434,0.018873,-0.111176,-0.007135,0.006572,0.066069,0.082555,0.101522,-0.035279,0.115498,0.067089,-0.018860,25.084015,22.088238,-0.526942,-0.596796,-4.141826,4.336302,29.097687,8.555916,-15.312500,-7.533659,-14.408984,-32.521252,5.904854,-0.013248,0.113477,0.014735,-0.067597,-0.055006,-0.145913,0.109305,-0.104638,-0.025178,-0.131264,-0.003122,,0.031920,,,,
106,1,0,,0.901902,0.889718,-0.012184,0.025034,0.066983,-1.791346,0.010476,0.041150,-1.575617,0.098315,0.162727,-0.023014,0.136629,0.053302,0.351356,-0.271744,0.006136,0.022412,-0.173690,-0.002682,-0.426826,0.309737,0.017647,-0.028679,-0.027808,0.265652,0.033974,0.460087,-0.261472,0.005527,-0.044101,-0.256372,-0.103509,-0.392490,0.197244,-0.049562,-0.010333,0.004794,-0.129023,0.019328,-0.108730,-0.010271,0.000609,0.066513,0.082681,0.100826,-0.034336,0.112493,0.067209,-0.018346,22.692930,7.270980,3.072615,-13.025798,2.772191,4.272331,43.024822,9.438287,-7.978580,-9.109049,-16.687281,-29.463924,5.924028,-0.013403,0.083566,0.025106,-0.066292,-0.059464,-0.132016,0.093843,-0.078712,-0.015939,-0.115263,-0.004606,,0.039393,,,,
107,1,0,,0.901768,0.889733,-0.012034,0.024331,0.069096,-1.788677,0.010746,0.041416,-1.574019,0.102220,0.105271,-0.023636,0.138155,0.054726,0.352797,-0.271872,0.006204,0.023077,-0.173854,-0.001163,-0.426498,0.309330,0.017863,-0.028794,-0.027433,0.265671,0.031283,0.457556,-0.257633,0.008495,-0.043848,-0.256442,-0.100829,-0.392836,0.199784,-0.049123,-0.010356,0.003797,-0.127517,0.023443,-0.104759,-0.014239,-0.002291,0.066925,0.082588,0.099666,-0.033662,0.109545,0.066986,-0.018438,36.255325,4.922530,-4.215991,4.085905,1.508316,0.124818,17.166239,15.148975,-15.612659,-0.346745,-29.500069,-33.099422,5.977360,-0.002787,0.109685,0.011489,-0.060689,-0.043195,-0.151028,0.090979,-0.079384,-0.033197,-0.124541,-0.030145,,0.021706,,,,
108,1,0,,0.901710,0.889757,-0.011953,0.023566,0.071259,-1.788653,0.011138,0.041965,-1.571802,0.105136,0.152375,-0.024448,0.139923,0.056725,0.353845,-0.271700,0.006284,0.023963,-0.174172,0.000958,-0.425955,0.308837,0.018111,-0.030031,-0.027438,0.265689,0.027575,0.456526,-0.254138,0.012437,-0.043847,-0.256651,-0.100859,-0.392873,0.201866,-0.049097,-0.010435,0.002990,-0.125766,0.029150,-0.102682,-0.017562,-0.006153,0.067809,0.082479,0.101818,-0.033083,0.106971,0.067207,-0.019596,29.406010,-0.355352,-1.319218,-0.761624,2.228871,4.121010,12.295935,0.285833,-12.552476,-5.446200,-24.792910,-30.744219,6.009750,-0.008549,0.102742,0.029226,-0.076540,-0.052062,-0.133527,0.085348,-0.073672,-0.035974,-0.120404,-0.022938,,0.022821,,,,
109,1,0,,0.901617,0.889806,-0.011811,0.022602,0.073305,-1.789474,0.011681,0.042779,-1.569020,0.109903,0.230456,-0.025411,0.140982,0.059285,0.352847,-0.270470,0.006364,0.025068,-0.174121,0.003620,-0.424370,0.307934,0.018373,-0.032928,-0.027786,0.265680,0.027523,0.456055,-0.252650,0.019151,-0.043854,-0.256878,-0.101746,-0.393006,0.203873,-0.048292,-0.010458,0.002375,-0.124698,0.031762,-0.103208,-0.017820,-0.012787,0.068922,0.082757,0.105365,-0.031364,0.104061,0.066665,-0.022470,16.979658,1.499230,4.296987,-0.418466,0.383421,5.160688,31.993828,15.777061,-17.657246,-6.745403,-25.910772,-33.045944,6.029347,-0.017896,0.104845,0.041052,-0.060212,-0.053797,-0.143442,0.087355,-0.080699,-0.023153,-0.130271,-0.023316,,0.034761,,,,
110,1,0,,0.901420,0.889867,-0.011553,0.022087,0.073816,-1.789710,0.012301,0.043726,-1.565954,0.111048,0.134226,-0.026450,0.141686,0.062126,0.350827,-0.268710,0.006445,0.026284,-0.173887,0.006551,-0.422262,0.306825,0.018642,-0.036656,-0.029013,0.264904,0.031289,0.455703,-0.250126,0.024372,-0.043161,-0.256978,-0.101931,-0.396014,0.207396,-0.047845,-0.010471,0.002563,-0.123217,0.030837,-0.104877,-0.018584,-0.017927,0.069444,0.083091,0.108481,-0.026248,0.099430,0.066487,-0.026185,17.732836,5.122361,2.963748,-7.165242,2.429570,2.599792,48.607845,40.466358,-8.019858,-36.030468,-34.254166,-31.264942,6.017040,-0.021829,0.092020,0.037024,-0.035769,-0.115707,-0.130926,0.088907,-0.069701,-0.008542,-0.114715,-0.035503,,0.040081,,,,
111,1,0,,0.901044,0.889938,-0.011106,0.021062,0.072564,-1.788665,0.013040,0.044771,-1.562567,0.106704,0.205532,-0.027625,0.142453,0.065311,0.348781,-0.266944,0.006516,0.027623,-0.173180,0.009774,-0.419289,0.305466,0.018917,-0.041660,-0.029410,0.264446,0.032377,0.456978,-0.243126,0.028317,-0.042681,-0.257006,-0.100698,-0.402272,0.212568,-0.046800,-0.010485,0.001785,-0.121993,0.032934,-0.108197,-0.023818,-0.021801,0.070303,0.083826,0.110472,-0.017017,0.092898,0.065716,-0.031175,18.567757,8.975130,-2.800688,2.630362,3.927526,2.365385,26.399773,16.258877,-14.407478,-14.116114,-32.411125,-32.033100,6.040944,-0.016938,0.116075,0.039735,-0.059709,-0.090751,-0.139692,0.094131,-0.053074,-0.025021,-0.124558,-0.022527,,0.028043,,,,
112,1,0,,0.900650,0.890006,-0.010644,0.020288,0.070788,-1.789593,0.013758,0.045746,-1.559484,0.116134,0.248248,-0.028750,0.142910,0.068231,0.346391,-0.265081,0.006606,0.028909,-0.172317,0.012709,-0.416106,0.304017,0.019214,-0.046268,-0.031020,0.264395,0.037416,0.460368,-0.233157,0.034685,-0.041935,-0.257130,-0.101502,-0.409246,0.217783,-0.045362,-0.010485,0.002270,-0.121485,0.030815,-0.113977,-0.031925,-0.028079,0.070845,0.084812,0.114211,-0.006860,0.086234,0.064576,-0.035783,8.119918,2.540096,3.925016,1.415749,4.014355,5.348918,45.425781,13.194695,-18.448641,-14.112917,-26.043257,-29.880381,6.047673,-0.031158,0.121295,0.058473,-0.062345,-0.098693,-0.123424,0.087078,-0.036798,-0.011154,-0.131111,0.000442,,0.049586,,,,
113,1,0,,0.900381,0.890066,-0.010315,0.019553,0.070332,-1.791103,0.014433,0.046584,-1.557012,0.108384,0.155837,-0.029773,0.142748,0.070621,0.343311,-0.263023,0.006732,0.030092,-0.171145,0.015068,-0.412501,0.302389,0.019556,-0.050082,-0.032348,0.264202,0.040556,0.461559,-0.236447,0.037192,-0.041314,-0.258881,-0.102953,-0.416297,0.222689,-0.046490,-0.010506,0.002574,-0.121454,0.030065,-0.118248,-0.026576,-0.030460,0.071405,0.087736,0.118022,0.003796,0.079700,0.066045,-0.039576,18.383427,18.957199,4.477736,-13.477112,6.152016,4.727623,36.291714,1.525733,-10.882113,-9.668681,-25.887022,-31.253979,6.025299,-0.022414,0.089047,0.050986,-0.081337,-0.099812,-0.133016,0.104340,-0.057659,-0.018170,-0.121366,0.004536,,0.049811,,,,
114,1,0,,0.900112,0.890103,-0.010009,0.017823,0.071069,-1.789514,0.014998,0.047260,-1.555736,0.114669,0.158547,-0.030682,0.142489,0.071918,0.340712,-0.261395,0.006988,0.031117,-0.170010,0.016337,-0.408968,0.300731,0.020013,-0.052404,-0.033466,0.264031,0.048427,0.457066,-0.237488,0.040952,-0.040880,-0.260443,-0.101242,-0.420941,0.226783,-0.047728,-0.010545,0.002784,-0.121541,0.023491,-0.116355,-0.023907,-0.033964,0.071997,0.090433,0.117579,0.011973,0.073948,0.067741,-0.041859,6.711018,12.357631,2.218959,-14.562013,-1.409326,4.149764,34.563732,18.937851,-11.180850,-14.727381,-33.433380,-29.383726,6.068190,-0.032748,0.070814,0.056543,-0.062230,-0.104358,-0.128073,0.096268,-0.071804,-0.017138,-0.117057,-0.016261,,0.059561,,,,
115,1,0,,0.899713,0.890129,-0.009585,0.015955,0.071779,-1.786509,0.015508,0.047855,-1.555057,0.111382,0.197798,-0.031533,0.142182,0.072668,0.338352,-0.259983,0.007310,0.032063,-0.168895,0.017060,-0.405471,0.299057,0.020527,-0.053978,-0.034848,0.263952,0.053448,0.451286,-0.239260,0.050122,-0.040111,-0.262714,-0.098069,-0.426892,0.231561,-0.048504,-0.010576,0.003315,-0.121770,0.019220,-0.112934,-0.020723,-0.042811,0.072174,0.093819,0.115129,0.021421,0.067496,0.069032,-0.043403,5.840905,6.390721,2.076942,-4.866509,16.215778,13.625314,33.871689,7.520036,-7.907060,-24.363283,-26.071375,-25.622364,6.068839,-0.034148,0.080599,0.094082,-0.080334,-0.134082,-0.110613,0.090728,-0.035856,-0.016260,-0.108667,0.010467,,0.059280,,,,
116,1,0,,0.899170,0.890128,-0.009042,0.014235,0.070906,-1.784180,0.015801,0.048376,-1.556118,0.114004,0.198452,-0.032261,0.142482,0.071781,0.337774,-0.259701,0.007887,0.032795,-0.168004,0.016168,-0.402021,0.297311,0.021281,-0.054520,-0.036194,0.261266,0.054324,0.448350,-0.243612,0.056312,-0.039206,-0.264875,-0.095515,-0.435340,0.237313,-0.048462,-0.010590,0.003933,-0.118785,0.017457,-0.110576,-0.016089,-0.048425,0.072001,0.096871,0.111683,0.033319,0.059998,0.069743,-0.043931,9.025717,-16.997078,-0.092606,11.907154,33.023357,12.399910,41.425045,4.667577,-7.056704,-14.576435,-24.581671,-21.169453,6.087380,-0.033206,0.113110,0.089959,-0.082381,-0.128057,-0.095529,0.055698,0.002780,-0.011737,-0.105059,0.021530,,0.054836,,,,
117,1,0,,0.897834,0.890114,-0.007720,0.014293,0.067667,-1.783865,0.015985,0.048898,-1.557637,0.144320,0.246864,-0.032914,0.143050,0.070449,0.337828,-0.259802,0.008535,0.033424,-0.167540,0.014819,-0.399255,0.295913,0.022099,-0.055337,-0.039404,0.254385,0.054982,0.443882,-0.251844,0.060977,-0.035420,-0.269458,-0.086005,-0.453458,0.247503,-0.041641,-0.010642,0.006490,-0.111334,0.015467,-0.106054,-0.007958,-0.052443,0.068844,0.101917,0.100824,0.054203,0.048410,0.063740,-0.044695,-11.795670,-39.705570,7.786811,14.638275,54.809261,20.159296,43.106010,-26.999552,3.952451,-34.904861,-0.798813,5.868319,6.097311,-0.055643,0.107428,0.112031,-0.129795,-0.214138,-0.016092,0.016339,0.095534,0.002988,-0.069412,0.091742,,0.067744,,,,
118,1,0,,0.896701,0.890074,-0.006627,0.015369,0.063683,-1.787619,0.015952,0.049422,-1.560073,0.071718,0.289146,-0.033416,0.144157,0.068226,0.339150,-0.260669,0.009323,0.033847,-0.167929,0.012555,-0.397858,0.295208,0.023047,-0.056703,-0.041257,0.247362,0.050865,0.439480,-0.254784,0.052327,-0.031419,-0.278934,-0.074932,-0.481123,0.260350,-0.037097,-0.010529,0.007841,-0.103205,0.017361,-0.100330,-0.005885,-0.043003,0.065266,0.111005,0.087488,0.083265,0.034858,0.060144,-0.046174,25.555248,-19.402117,1.780680,-3.966059,45.468433,35.593479,42.720081,-18.460224,3.481065,-18.477983,4.984630,0.282232,5.878505,-0.028074,0.073921,0.147890,-0.136431,-0.227502,-0.033022,0.035226,0.057892,0.003585,-0.060694,0.117909,,0.050818,,,,
119,1,0,,0.896500,0.889993,-0.006507,0.015513,0.060780,-1.796613,0.015681,0.049913,-1.563293,0.049317,0.365803,-0.033733,0.145864,0.065237,0.341968,-0.262441,0.010224,0.034012,-0.169600,0.009431,-0.398843,0.295789,0.024090,-0.059312,-0.041121,0.241556,0.041564,0.435729,-0.254105,0.047827,-0.029315,-0.289347,-0.064500,-0.507815,0.271556,-0.036602,-0.010525,0.007388,-0.095692,0.023673,-0.093761,-0.008337,-0.037602,0.063327,0.119747,0.073931,0.108972,0.024233,0.060691,-0.048787,43.548244,-13.931330,3.209207,-5.331922,41.541424,36.335846,45.821857,-14.809930,0.491129,-13.312905,6.838329,-0.174337,6.085855,-0.013470,0.067133,0.178596,-0.144145,-0.242576,-0.036701,0.036281,0.029436,0.003899,-0.055674,0.133688,,0.039600,,,,
120,1,0,,0.896498,0.889892,-0.006606,0.015789,0.059469,-1.806113,0.015291,0.050386,-1.566905,0.033995,0.250336,-0.033956,0.147871,0.061867,0.345535,-0.264666,0.011182,0.034048,-0.171911,0.005876,-0.401020,0.297014,0.025180,-0.062543,-0.041120,0.237185,0.031774,0.431642,-0.253218,0.047401,-0.025898,-0.299060,-0.049988,-0.529822,0.289187,-0.030816,-0.010535,0.007164,-0.089313,0.030092,-0.086107,-0.011448,-0.036220,0.059946,0.127148,0.055863,0.128801,0.007827,0.055996,-0.052009,25.730947,-19.319298,8.141746,-1.774539,46.500881,36.059673,61.893482,-22.561422,0.683777,-5.939640,10.561373,5.849934,6.075212,-0.024985,0.068407,0.175060,-0.159750,-0.238450,-0.005988,0.028132,0.052602,0.023188,-0.035684,0.171125,,0.037673,,,,
121,1,0,,0.896634,0.889715,-0.006919,0.016460,0.059113,-1.817461,0.014609,0.050725,-1.571926,0.025074,0.417241,-0.033936,0.151117,0.057170,0.352381,-0.268880,0.012290,0.033634,-0.177404,0.000716,-0.409447,0.301320,0.026374,-0.067066,-0.041073,0.232047,0.020121,0.424772,-0.251418,0.048680,-0.021662,-0.307482,-0.037773,-0.546130,0.303761,-0.025757,-0.010530,0.007137,-0.080930,0.037049,-0.072391,-0.017462,-0.036390,0.055296,0.130077,0.038489,0.136683,-0.002441,0.052131,-0.056536,43.920036,-18.277910,3.848969,-9.021954,43.512672,36.070953,50.224621,-15.792807,-1.774027,-7.083377,4.516832,0.951097,6.089524,-0.013157,0.041490,0.179122,-0.158460,-0.244490,-0.017810,0.020865,0.033848,0.020482,-0.031849,0.162435,,0.016897,,,,
122,1,0,,0.896867,0.889546,-0.007321,0.017311,0.058889,-1.829429,0.013873,0.051002,-1.577177,0.018417,0.271729,-0.033861,0.154255,0.052297,0.359349,-0.273295,0.013449,0.033162,-0.181854,-0.004669,-0.416024,0.304777,0.027622,-0.071545,-0.041061,0.226850,0.007931,0.417942,-0.249815,0.052549,-0.018365,-0.312871,-0.033906,-0.555427,0.306695,-0.019213,-0.010566,0.007199,-0.072595,0.044366,-0.058592,-0.023480,-0.039100,0.051527,0.131017,0.029237,0.139403,-0.001917,0.046836,-0.060979,16.086742,-14.625411,7.730251,4.155656,45.722878,34.919369,39.036690,-7.529387,-2.364452,-2.187295,0.814308,5.279523,6.089334,-0.030596,0.060263,0.164505,-0.149465,-0.227231,0.004019,0.021163,0.048203,0.014438,-0.035264,0.138588,,0.010921,,,,
123,1,0,,0.896955,0.889392,-0.007563,0.017020,0.057375,-1.840608,0.013029,0.051156,-1.582889,0.032570,0.344112,-0.033679,0.157178,0.047070,0.366561,-0.278112,0.014707,0.032571,-0.184215,-0.010508,-0.418900,0.306536,0.028979,-0.075938,-0.039545,0.221773,-0.003468,0.413961,-0.249633,0.056240,-0.017576,-0.313933,-0.035871,-0.557613,0.306541,-0.018836,-0.010614,0.005866,-0.064595,0.050538,-0.047399,-0.028479,-0.041533,0.050147,0.129719,0.025363,0.138713,-0.000004,0.047815,-0.065323,53.040649,-49.889690,6.911861,21.683601,46.594822,33.861813,31.567316,-28.965250,-1.247870,9.942349,-0.644184,-3.416510,6.148083,-0.002084,0.091606,0.161785,-0.163832,-0.192041,-0.030016,-0.022246,0.067108,0.003052,-0.040056,0.135252,,-0.001035,,,,
124,1,0,,0.896969,0.889231,-0.007737,0.017352,0.056813,-1.852389,0.011963,0.051117,-1.588888,0.048406,0.277375,-0.033268,0.160467,0.041631,0.375273,-0.283959,0.016091,0.031743,-0.185616,-0.016591,-0.420478,0.307664,0.030385,-0.077867,-0.038183,0.217543,-0.015480,0.409508,-0.249121,0.058639,-0.016249,-0.316647,-0.037327,-0.559781,0.306382,-0.018252,-0.010652,0.004915,-0.057077,0.057111,-0.034235,-0.034838,-0.042548,0.047992,0.131031,0.020736,0.139303,0.001282,0.048637,-0.067215,25.540501,-2.164523,8.262553,-17.265345,38.743916,35.171032,43.848679,-11.190342,1.549118,-13.768406,-1.526690,2.260087,6.148994,-0.019270,0.017127,0.174553,-0.154985,-0.242119,-0.009794,0.027934,0.024167,0.014888,-0.035797,0.133246,,-0.012070,,,,
125,1,0,,0.897123,0.889068,-0.008055,0.018585,0.058684,-1.859513,0.010787,0.050976,-1.595030,0.071049,0.185824,-0.032742,0.163937,0.036086,0.384734,-0.290321,0.017538,0.030797,-0.186538,-0.022797,-0.421409,0.308476,0.031815,-0.078564,-0.038141,0.215859,-0.022693,0.403772,-0.247088,0.060645,-0.012771,-0.320825,-0.029872,-0.563500,0.311278,-0.011827,-0.010684,0.005398,-0.051921,0.058779,-0.019038,-0.043233,-0.043107,0.043568,0.134287,0.007075,0.142091,-0.002802,0.043641,-0.067880,18.317528,-19.255955,9.658423,-1.449029,44.033993,33.355900,43.969509,-17.195616,2.792670,-4.676196,6.528701,5.662591,6.158776,-0.026908,0.037468,0.172685,-0.167153,-0.229736,0.012168,0.011903,0.061157,0.025740,-0.017059,0.165334,,-0.012928,,,,
126,1,0,,0.897244,0.888852,-0.008393,0.020265,0.059359,-1.865795,0.009099,0.050520,-1.600700,0.084153,0.224747,-0.031728,0.168509,0.031028,0.397281,-0.298421,0.019095,0.029370,-0.187494,-0.028466,-0.423554,0.309795,0.033263,-0.073266,-0.038386,0.213743,-0.029076,0.399573,-0.245762,0.063311,-0.008904,-0.322305,-0.021357,-0.564681,0.313635,-0.006273,-0.010684,0.006658,-0.045234,0.060104,-0.002292,-0.052659,-0.044216,0.038275,0.134811,-0.007108,0.141127,-0.003840,0.039536,-0.062582,5.106810,-34.865715,-0.078537,20.020742,49.465893,32.612522,41.236843,-14.942275,-0.889120,1.090928,2.174941,1.860462,6.182551,-0.036408,0.076013,0.169923,-0.159660,-0.213662,0.004896,-0.010520,0.085054,0.027036,-0.016409,0.149260,,-0.033366,,,,
127,1,0,,0.897133,0.888602,-0.008531,0.022657,0.059178,-1.874712,0.007278,0.049967,-1.605700,0.107883,0.333345,-0.030647,0.173282,0.026600,0.410338,-0.306747,0.020691,0.027891,-0.188602,-0.033474,-0.426490,0.311561,0.034724,-0.066651,-0.038565,0.212473,-0.038207,0.399108,-0.246465,0.065877,-0.005655,-0.323186,-0.017711,-0.564859,0.313206,-0.003369,-0.010686,0.007919,-0.039191,0.064807,0.011230,-0.060282,-0.045186,0.033546,0.134583,-0.015763,0.138369,-0.001646,0.038094,-0.055965,13.749403,-18.626553,2.270876,11.245000,47.175636,31.085974,39.446289,-15.380032,-0.184937,-3.214996,-1.838467,1.153098,6.169798,-0.029933,0.068972,0.163158,-0.162814,-0.220958,0.003239,0.011297,0.061440,0.026451,-0.015074,0.138593,,-0.040829,,,,
128,1,0,,0.896968,0.888284,-0.008683,0.024640,0.060588,-1.884951,0.005188,0.049228,-1.609359,0.135350,0.487092,-0.029430,0.178458,0.023429,0.424415,-0.315526,0.022365,0.026305,-0.190017,-0.037161,-0.431009,0.314221,0.036211,-0.057401,-0.037590,0.212422,-0.048679,0.397944,-0.246891,0.068037,-0.004798,-0.325153,-0.020073,-0.563707,0.310974,-0.006402,-0.010678,0.008160,-0.033964,0.072108,0.026471,-0.068634,-0.045672,0.031103,0.135136,-0.017088,0.132698,0.003247,0.042613,-0.046723,40.695911,1.907723,4.919470,-15.689018,33.406055,33.416363,25.602407,-10.810791,-0.743569,1.011476,-2.660088,-3.953324,6.183530,-0.008728,0.016741,0.186560,-0.161352,-0.208362,-0.022542,0.034455,0.007566,0.011772,-0.024360,0.131121,,-0.048657,,,,
129,1,0,,0.896789,0.887814,-0.008975,0.026236,0.061939,-1.892811,0.003131,0.048314,-1.610973,0.160606,0.308032,-0.028560,0.184512,0.022143,0.440202,-0.324880,0.024140,0.025078,-0.191323,-0.038889,-0.436478,0.318213,0.037738,-0.048957,-0.036046,0.212798,-0.056766,0.397608,-0.247497,0.070163,-0.004810,-0.324712,-0.023469,-0.559510,0.302891,-0.016086,-0.010652,0.007486,-0.028285,0.078909,0.042594,-0.077383,-0.046023,0.029888,0.133389,-0.015421,0.123032,0.015322,0.053824,-0.038305,46.236435,-2.772877,13.000917,12.065174,28.150442,31.784342,23.481232,4.187112,-2.142065,2.350664,-5.268398,-7.438762,6.154768,-0.003585,0.069603,0.154752,-0.138427,-0.194316,-0.050126,0.030625,-0.014060,0.009818,-0.029427,0.106162,,-0.041958,,,,
130,1,0,,0.896308,0.887268,-0.009041,0.028745,0.062315,-1.895851,0.001089,0.047312,-1.611563,0.187862,0.278220,-0.027863,0.191006,0.021799,0.456845,-0.334522,0.025966,0.024031,-0.192574,-0.039638,-0.442423,0.322872,0.039284,-0.040917,-0.035400,0.217369,-0.060011,0.406010,-0.251573,0.072013,-0.004177,-0.323513,-0.028969,-0.557582,0.297364,-0.021903,-0.010602,0.007536,-0.026363,0.081810,0.050834,-0.082949,-0.046047,0.028208,0.130939,-0.010669,0.115159,0.025508,0.061187,-0.030315,14.099483,2.835416,10.783493,23.358385,31.563673,31.096704,34.516811,-6.838245,-0.332656,-1.786648,-0.814817,-0.571175,6.129670,-0.025971,0.119015,0.161778,-0.150420,-0.208602,-0.028920,0.051333,-0.011753,0.019700,-0.034357,0.120077,,-0.045943,,,,
131,1,0,,0.895338,0.886499,-0.008840,0.031843,0.060106,-1.892539,-0.000854,0.046034,-1.609845,0.223209,0.385387,-0.027791,0.198032,0.023537,0.474677,-0.342992,0.027980,0.023536,-0.194803,-0.038242,-0.451723,0.329729,0.040988,-0.036959,-0.035117,0.223563,-0.056755,0.421237,-0.258178,0.068603,-0.003999,-0.318039,-0.038554,-0.553070,0.284772,-0.027950,-0.010571,0.007326,-0.025530,0.080292,0.053440,-0.084814,-0.040623,0.027536,0.123236,0.000312,0.101348,0.044957,0.068938,-0.026387,29.572582,-10.737363,22.055920,24.805807,32.254059,16.247507,6.374031,6.124451,-3.825372,11.133438,-7.938187,-5.274751,6.126740,-0.015555,0.150275,0.100616,-0.118566,-0.169507,-0.051079,0.042197,-0.015795,0.000078,-0.053232,0.073863,,-0.022385,,,,
132,1,0,,0.893878,0.885664,-0.008214,0.035366,0.054372,-1.885325,-0.002775,0.044553,-1.608350,0.248297,0.385875,-0.027822,0.204507,0.025055,0.492080,-0.351662,0.030088,0.023131,-0.197573,-0.037051,-0.462504,0.336992,0.042828,-0.033470,-0.034900,0.229307,-0.049850,0.441565,-0.266820,0.060370,-0.004310,-0.308497,-0.048859,-0.547382,0.277589,-0.033417,-0.010470,0.007077,-0.024800,0.074905,0.050516,-0.084842,-0.030282,0.027440,0.110924,0.011808,0.084877,0.059403,0.076245,-0.023001,22.021124,-16.490011,15.016025,38.078873,35.056866,16.521137,-4.240001,-9.595925,-8.951927,1.059733,-33.759792,-13.214985,6.035874,-0.020741,0.204665,0.090157,-0.121873,-0.183486,-0.064000,0.042768,-0.023416,-0.006876,-0.067606,0.041915,,-0.020937,,,,
133,1,0,,0.892025,0.884696,-0.007328,0.039158,0.050134,-1.883399,-0.004652,0.042663,-1.607301,0.274429,0.263647,-0.028058,0.209878,0.026132,0.508627,-0.360734,0.032386,0.022903,-0.201427,-0.036272,-0.476252,0.345070,0.044941,-0.030920,-0.034739,0.240098,-0.045506,0.468403,-0.278416,0.053974,-0.005668,-0.302208,-0.056957,-0.541957,0.287597,-0.039123,-0.010318,0.006681,-0.030221,0.071638,0.040224,-0.082318,-0.021588,0.028571,0.100782,0.020686,0.065706,0.057473,0.084064,-0.020603,25.271673,24.190050,11.216395,22.744402,7.131074,3.038771,-1.730172,3.114589,-18.551064,6.763161,-51.238674,-23.024828,5.979312,-0.018292,0.224142,0.052739,-0.109424,-0.165762,-0.105658,0.107935,-0.112214,-0.010830,-0.097368,0.011671,,-0.023944,,,,
